model,mean_acc,std_acc,n_days,elapsed_s,run_ts
m_seasonal_naive,0.5654761904761905,0.1945534318665128,14,0.0437676906585693,2026-05-08T10:14:25.595042+03:00
m_diff_lag,0.5446428571428571,0.1571517022152719,14,0.04305100440979,2026-05-08T10:14:25.595042+03:00
m_weather_lr,0.619047619047619,0.2450673327026626,14,0.2544898986816406,2026-05-08T10:15:16.112018+03:00
m_dt_baseline,0.5833333333333333,0.2510661029175146,14,10.53463864326477,2026-05-08T10:15:16.112018+03:00
m_seasonal_naive,0.5654761904761905,0.1945534318665128,14,0.0435130596160888,2026-05-08T10:15:16.112018+03:00
m_diff_lag,0.5446428571428571,0.1571517022152719,14,0.0442678928375244,2026-05-08T10:15:16.112018+03:00
m_weather_lr,0.6875,0.1854409736300332,14,0.2394888401031494,2026-05-08T11:08:38.232740+03:00
m_dt_baseline,0.6398809523809523,0.1917134438857759,14,0.4308221340179443,2026-05-08T11:08:38.232740+03:00
m_seasonal_naive,0.5654761904761905,0.1945534318665128,14,0.0484511852264404,2026-05-08T11:08:38.232740+03:00
m_diff_lag,0.5446428571428571,0.1571517022152719,14,0.0486130714416503,2026-05-08T11:08:38.232740+03:00
m_gam_baseline,0.630952380952381,0.207277544524197,14,13.381444215774536,2026-05-08T16:10:17.416260+03:00
m_weather_lr,0.6875,0.1854409736300332,14,0.2228667736053466,2026-05-08T16:38:50.064411+03:00
m_dt_baseline,0.6398809523809523,0.1917134438857759,14,0.462507963180542,2026-05-08T16:38:50.064411+03:00
m_gam_baseline,0.630952380952381,0.207277544524197,14,0.6741929054260254,2026-05-08T16:38:50.064411+03:00
m_gam_plus,0.5803571428571429,0.1160978414580081,14,1.147326946258545,2026-05-08T16:38:50.064411+03:00
m_seasonal_naive,0.5654761904761905,0.1945534318665128,14,0.0448081493377685,2026-05-08T16:38:50.064411+03:00
m_diff_lag,0.5446428571428571,0.1571517022152719,14,0.0497453212738037,2026-05-08T16:38:50.064411+03:00
m_lgbm_reg,0.5029761904761905,0.2146256715229538,14,108.33440899848938,2026-05-08T16:38:50.064411+03:00
m_gam_plus,0.5803571428571429,0.1160978414580081,14,0.968966007232666,2026-05-08T16:41:42.710180+03:00
m_lgbm_reg,0.4732142857142857,0.2134669696478758,14,103.65503692626952,2026-05-08T16:41:42.710180+03:00
m_weather_lr,0.6875,0.17958731181267393,14,0.23145604133605957,2026-05-18T17:10:49.253820+03:00
m_dt_baseline,0.6220238095238095,0.19300278835440773,14,12.449991226196289,2026-05-18T17:10:49.253820+03:00
m_seasonal_naive,0.6011904761904762,0.11638506044799005,14,0.03771495819091797,2026-05-18T17:10:49.253820+03:00
m_diff_lag,0.5565476190476191,0.14116345663670002,14,0.038372039794921875,2026-05-18T17:10:49.253820+03:00
