date,m_diff_lag,m_dt_baseline,m_seasonal_naive,m_weather_lr,ACTUAL_submitted
2026-05-04,0.5,0.7083333333333334,0.4583333333333333,0.5416666666666666,
2026-05-05,0.625,0.5416666666666666,0.625,0.8333333333333334,
2026-05-06,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,
2026-05-07,0.75,0.7916666666666666,0.6666666666666666,0.9583333333333334,
2026-05-08,0.625,0.7916666666666666,0.7083333333333334,0.7083333333333334,
2026-05-09,0.5416666666666666,0.9166666666666666,0.5833333333333334,0.6666666666666666,0.9166666666666666
2026-05-10,0.3333333333333333,0.75,0.5,0.7916666666666666,0.0
2026-05-11,0.4583333333333333,0.25,0.7083333333333334,0.4166666666666667,0.041666666666666664
2026-05-12,0.375,0.7916666666666666,0.5,0.8333333333333334,0.041666666666666664
2026-05-13,0.4166666666666667,0.5833333333333334,0.625,0.75,0.041666666666666664
2026-05-14,0.5,0.4583333333333333,0.5416666666666666,0.6666666666666666,0.041666666666666664
2026-05-15,0.625,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.0
2026-05-16,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.75,0.041666666666666664
2026-05-17,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.0
2026-05-18,,,,,
2026-05-19,,,,,
